TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Design Summary #1,Hypothesis,Value,Noninferiority,20260822T132209_3c8bfd,,
Design Summary #1,Number of Interims,Parameter,Number of Interims,20260822T132209_3c8bfd,,
Design Summary #1,Number of Interims,Value,2,20260822T132209_3c8bfd,,
Design Summary #1,Power,Parameter,Power,20260822T132209_3c8bfd,,
Design Summary #1,Power,Value,0.432,20260822T132209_3c8bfd,,
Design Summary #1,Test Name,Parameter,Test Name,20260822T132209_3c8bfd,,
Design Summary #1,Test Name,Value,Difference of Proportions (Parallel Design),20260822T132209_3c8bfd,,
Design Summary #1,Test Type,Parameter,Test Type,20260822T132209_3c8bfd,,
Design Summary #1,Test Type,Value,1-Sided,20260822T132209_3c8bfd,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260822T132209_3c8bfd,,
Design Summary #1,Type 1 Error (α),Value,0.08321,20260822T132209_3c8bfd,,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260822T132209_3c8bfd,,
Design Summary #2,Allocation Ratio (nt/nc),Value,1.3652,20260822T132209_3c8bfd,,
Design Summary #2,Follow-up Time (Week),Parameter,Follow-up Time (Week),20260822T132209_3c8bfd,,
Design Summary #2,Follow-up Time (Week),Value,8.8885,20260822T132209_3c8bfd,,
Design Summary #2,Probability of Dropout,Parameter,Probability of Dropout,20260822T132209_3c8bfd,,
Design Summary #2,Probability of Dropout,Value,0.22215,20260822T132209_3c8bfd,,
Design Summary #2,Proportion Under Control (πc),Parameter,Proportion Under Control (πc),20260822T132209_3c8bfd,,
Design Summary #2,Proportion Under Control (πc),Value,0.5556,20260822T132209_3c8bfd,,
Design Summary #2,Proportion Under Treatment (NULL) (πt0),Parameter,Proportion Under Treatment (NULL) (πt0),20260822T132209_3c8bfd,,
Design Summary #2,Proportion Under Treatment (NULL) (πt0),Value,0.86671,20260822T132209_3c8bfd,,
Design Summary #2,Proportion Under Treatment (πt1),Parameter,Proportion Under Treatment (πt1),20260822T132209_3c8bfd,,
Design Summary #2,Proportion Under Treatment (πt1),Value,0.8141,20260822T132209_3c8bfd,,
Design Summary #2,Under H0,Parameter,Under H0,20260822T132209_3c8bfd,,
Design Summary #2,Under H0,Value,0.31111,20260822T132209_3c8bfd,,
Design Summary #2,Under H1,Parameter,Under H1,20260822T132209_3c8bfd,,
Design Summary #2,Under H1,Value,0.2585,20260822T132209_3c8bfd,,
Design Summary #2,δ = πt - πc,Parameter,δ = πt - πc,20260822T132209_3c8bfd,,
Design Summary #2,δ = πt - πc,Value,,20260822T132209_3c8bfd,,
Design Summary #3,Enrollment Rate (per Week),Parameter,Enrollment Rate (per Week),20260822T132209_3c8bfd,,
Design Summary #3,Enrollment Rate (per Week),Value,11.111,20260822T132209_3c8bfd,,
Design Summary #4,Efficacy Boundary,Parameter,Efficacy Boundary,20260822T132209_3c8bfd,,
Design Summary #4,Efficacy Boundary,Value,Wang-Tsiatis (0),20260822T132209_3c8bfd,,
Design Summary #4,Futility Boundary,Parameter,Futility Boundary,20260822T132209_3c8bfd,,
Design Summary #4,Futility Boundary,Value,Pampallona-Tsiatis (0.321) (Binding),20260822T132209_3c8bfd,,
Plan #1,Control Arm,Parameter,Control Arm,20260822T132209_3c8bfd,,
Plan #1,Control Arm,Value,Ctrl,20260822T132209_3c8bfd,,
Plan #1,Phase,Parameter,Phase,20260822T132209_3c8bfd,,
Plan #1,Phase,Value,3,20260822T132209_3c8bfd,,
Plan #1,Study Objective,Parameter,Study Objective,20260822T132209_3c8bfd,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260822T132209_3c8bfd,,
Plan #1,Target Population,Parameter,Target Population,20260822T132209_3c8bfd,,
Plan #1,Target Population,Value,Adult,20260822T132209_3c8bfd,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260822T132209_3c8bfd,,
Plan #1,Treatment Arm,Value,EXP,20260822T132209_3c8bfd,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260822T132209_3c8bfd,,
Plan #2,Endpoint Name,Value,EPBin,20260822T132209_3c8bfd,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260822T132209_3c8bfd,,
Plan #2,Endpoint Type,Value,Binary,20260822T132209_3c8bfd,,
Plan #2,Priority,Parameter,Priority,20260822T132209_3c8bfd,,
Plan #2,Priority,Value,Primary,20260822T132209_3c8bfd,,
Sample Size Information,Completers (s),ctrlArm,,20260822T132209_3c8bfd,,
