TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Plan #2,Priority,Parameter,Priority,20260819T111525_bd877a,,
Plan #2,Priority,Value,Primary,20260819T111525_bd877a,,
Sample Size Information,Completers (s),Parameter,Completers (s),20260819T111525_bd877a,,
Sample Size Information,Completers (s),Value,399,20260819T111525_bd877a,,
Sample Size Information,Control (dc),Parameter,Control (dc),20260819T111525_bd877a,,
Sample Size Information,Control (dc),Value,37,20260819T111525_bd877a,,
Sample Size Information,Control (nc),Parameter,Control (nc),20260819T111525_bd877a,,
Sample Size Information,Control (nc),Value,218,20260819T111525_bd877a,,
Sample Size Information,Control (sc),Parameter,Control (sc),20260819T111525_bd877a,,
Sample Size Information,Control (sc),Value,181,20260819T111525_bd877a,,
Sample Size Information,Dropouts (d),Parameter,Dropouts (d),20260819T111525_bd877a,,
Sample Size Information,Dropouts (d),Value,81,20260819T111525_bd877a,,
Sample Size Information,Information (I),Parameter,Information (I),20260819T111525_bd877a,,
Sample Size Information,Information (I),Value,108.72,20260819T111525_bd877a,,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260819T111525_bd877a,,
Sample Size Information,Sample Size (n),Value,480,20260819T111525_bd877a,,
Sample Size Information,Treatment (dt),Parameter,Treatment (dt),20260819T111525_bd877a,,
Sample Size Information,Treatment (dt),Value,44,20260819T111525_bd877a,,
Sample Size Information,Treatment (nt),Parameter,Treatment (nt),20260819T111525_bd877a,,
Sample Size Information,Treatment (nt),Value,262,20260819T111525_bd877a,,
Sample Size Information,Treatment (st),Parameter,Treatment (st),20260819T111525_bd877a,,
Sample Size Information,Treatment (st),Value,218,20260819T111525_bd877a,,
