TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Plan #1,Control Arm,Value,Control,20260819T115459_be5590,,
Plan #1,Phase,Parameter,Phase,20260819T115459_be5590,,
Plan #1,Phase,Value,3,20260819T115459_be5590,,
Plan #1,Study Objective,Parameter,Study Objective,20260819T115459_be5590,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260819T115459_be5590,,
Plan #1,Target Population,Parameter,Target Population,20260819T115459_be5590,,
Plan #1,Target Population,Value,Adult,20260819T115459_be5590,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260819T115459_be5590,,
Plan #1,Treatment Arm,Value,EXP,20260819T115459_be5590,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260819T115459_be5590,,
Plan #2,Endpoint Name,Value,EPBin,20260819T115459_be5590,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260819T115459_be5590,,
Plan #2,Endpoint Type,Value,Binary,20260819T115459_be5590,,
Plan #2,Priority,Parameter,Priority,20260819T115459_be5590,,
Plan #2,Priority,Value,Primary,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,%,—,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Analysis #,%,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Completers,—,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Count,—,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Efficacy,100,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Efficacy Z,—,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Futility,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Futility Z,—,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,%,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Analysis #,1,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Completers,222,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Count,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Efficacy,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Efficacy Z,NA,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Futility,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Futility Z,1.445,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,%,100,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Analysis #,2,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Completers,407,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Count,100,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Efficacy,100,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Efficacy Z,-2.713,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Futility,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Futility Z,NA,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,%,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Analysis #,3,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Completers,480,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Count,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Efficacy,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Efficacy Z,-2.428,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Futility,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,3,Futility Z,NA,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,4,%,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,4,Analysis #,4,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,4,Completers,591,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,4,Count,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,4,Efficacy,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,4,Efficacy Z,-1.958,20260819T115459_be5590,,
